2017-07-13 18:43:05,330 - MyLogger - INFO - edges: 198610
2017-07-13 18:43:05,427 - MyLogger - INFO - sparse matrix is done
2017-07-13 18:43:57,845 - MyLogger - DEBUG - total: 66430852
2017-07-13 18:43:57,845 - MyLogger - INFO - 66430852
2017-07-13 18:43:58,959 - MyLogger - INFO - [(0, 509), (509, 1023), (1023, 1589), (1589, 2132), (2132, 2686), (2686, 3262), (3262, 3866), (3866, 4508), (4508, 5165), (5165, 5869), (5869, 6564), (6564, 7262), (7262, 7998), (7998, 8760), (8760, 9570), (9570, 10326)]
2017-07-13 18:43:58,959 - MyLogger - INFO - shape: 10326
2017-07-13 18:43:58,966 - MyLogger - DEBUG - Proc 1 started with interval: (509, 1023)
2017-07-13 18:43:58,967 - MyLogger - DEBUG - Proc 3 started with interval: (1589, 2132)
2017-07-13 18:43:58,967 - MyLogger - DEBUG - Proc 0 started with interval: (0, 509)
2017-07-13 18:43:58,967 - MyLogger - DEBUG - Proc 2 started with interval: (1023, 1589)
2017-07-13 18:43:58,967 - MyLogger - DEBUG - Proc 4 started with interval: (2132, 2686)
2017-07-13 18:43:58,969 - MyLogger - DEBUG - Proc 5 started with interval: (2686, 3262)
2017-07-13 18:43:58,971 - MyLogger - DEBUG - Proc 7 started with interval: (3866, 4508)
2017-07-13 18:43:58,971 - MyLogger - DEBUG - Proc 6 started with interval: (3262, 3866)
2017-07-13 18:43:58,972 - MyLogger - DEBUG - Proc 8 started with interval: (4508, 5165)
2017-07-13 18:43:58,973 - MyLogger - DEBUG - Proc 9 started with interval: (5165, 5869)
2017-07-13 18:43:58,973 - MyLogger - DEBUG - Proc 10 started with interval: (5869, 6564)
2017-07-13 18:43:58,978 - MyLogger - DEBUG - Proc 11 started with interval: (6564, 7262)
2017-07-13 18:43:58,979 - MyLogger - DEBUG - Proc 13 started with interval: (7998, 8760)
2017-07-13 18:43:58,980 - MyLogger - DEBUG - Proc 12 started with interval: (7262, 7998)
2017-07-13 18:43:58,980 - MyLogger - DEBUG - Proc 14 started with interval: (8760, 9570)
2017-07-13 18:43:59,008 - MyLogger - DEBUG - Proc 15 started with interval: (9570, 10326)
2017-07-13 18:44:08,532 - MyLogger - DEBUG - Proc 0, completed 1000 in 9.564475297927856 sec. Speed: 104
2017-07-13 18:44:11,945 - MyLogger - DEBUG - Proc 2, completed 1000 in 12.977327108383179 sec. Speed: 77
2017-07-13 18:44:16,932 - MyLogger - DEBUG - Proc 1, completed 1000 in 17.96566605567932 sec. Speed: 55
2017-07-13 18:44:19,561 - MyLogger - DEBUG - Proc 0, completed 2000 in 11.028285264968872 sec. Speed: 90
2017-07-13 18:44:20,075 - MyLogger - DEBUG - Proc 3, completed 1000 in 21.107605934143066 sec. Speed: 47
2017-07-13 18:44:22,099 - MyLogger - DEBUG - Proc 2, completed 2000 in 10.151419639587402 sec. Speed: 98
2017-07-13 18:44:24,881 - MyLogger - DEBUG - Proc 1, completed 2000 in 7.947664260864258 sec. Speed: 125
2017-07-13 18:44:28,135 - MyLogger - DEBUG - Proc 0, completed 3000 in 8.573009967803955 sec. Speed: 116
2017-07-13 18:44:31,279 - MyLogger - DEBUG - Proc 1, completed 3000 in 6.397358417510986 sec. Speed: 156
2017-07-13 18:44:34,728 - MyLogger - DEBUG - Proc 4, completed 1000 in 35.76023507118225 sec. Speed: 27
2017-07-13 18:44:34,870 - MyLogger - DEBUG - Proc 0, completed 4000 in 6.734147548675537 sec. Speed: 148
2017-07-13 18:44:41,706 - MyLogger - DEBUG - Proc 1, completed 4000 in 10.426075220108032 sec. Speed: 95
2017-07-13 18:44:42,607 - MyLogger - DEBUG - Proc 0, completed 5000 in 7.736044406890869 sec. Speed: 129
2017-07-13 18:44:45,753 - MyLogger - DEBUG - Proc 1, completed 5000 in 4.045504570007324 sec. Speed: 247
2017-07-13 18:44:47,142 - MyLogger - DEBUG - Proc 2, completed 3000 in 25.041983127593994 sec. Speed: 39
2017-07-13 18:44:47,971 - MyLogger - DEBUG - Proc 9, completed 1000 in 48.997641801834106 sec. Speed: 20
2017-07-13 18:44:48,708 - MyLogger - DEBUG - Proc 7, completed 1000 in 49.73717784881592 sec. Speed: 20
2017-07-13 18:44:49,279 - MyLogger - DEBUG - Proc 0, completed 6000 in 6.671569585800171 sec. Speed: 149
2017-07-13 18:44:49,465 - MyLogger - DEBUG - Proc 5, completed 1000 in 50.495553731918335 sec. Speed: 19
2017-07-13 18:44:50,217 - MyLogger - DEBUG - Proc 6, completed 1000 in 51.24610638618469 sec. Speed: 19
2017-07-13 18:44:50,322 - MyLogger - DEBUG - Proc 8, completed 1000 in 51.34911775588989 sec. Speed: 19
2017-07-13 18:44:54,114 - MyLogger - DEBUG - Proc 1, completed 6000 in 8.360214471817017 sec. Speed: 119
2017-07-13 18:44:57,637 - MyLogger - DEBUG - Proc 3, completed 2000 in 37.560626745224 sec. Speed: 26
2017-07-13 18:44:58,369 - MyLogger - DEBUG - Proc 8, completed 2000 in 8.04570722579956 sec. Speed: 124
2017-07-13 18:45:00,149 - MyLogger - DEBUG - Proc 10, completed 1000 in 61.17557644844055 sec. Speed: 16
2017-07-13 18:45:01,119 - MyLogger - DEBUG - Proc 0, completed 7000 in 11.83925986289978 sec. Speed: 84
2017-07-13 18:45:06,198 - MyLogger - DEBUG - Proc 2, completed 4000 in 19.05515694618225 sec. Speed: 52
2017-07-13 18:45:07,285 - MyLogger - DEBUG - Proc 11, completed 1000 in 68.30720567703247 sec. Speed: 14
2017-07-13 18:45:08,516 - MyLogger - DEBUG - Proc 1, completed 7000 in 14.4014892578125 sec. Speed: 69
2017-07-13 18:45:12,852 - MyLogger - DEBUG - Proc 0, completed 8000 in 11.73154878616333 sec. Speed: 85
2017-07-13 18:45:16,912 - MyLogger - DEBUG - Proc 4, completed 2000 in 42.182581424713135 sec. Speed: 23
2017-07-13 18:45:19,306 - MyLogger - DEBUG - Proc 12, completed 1000 in 80.32535433769226 sec. Speed: 12
2017-07-13 18:45:21,373 - MyLogger - DEBUG - Proc 13, completed 1000 in 82.39388036727905 sec. Speed: 12
2017-07-13 18:45:23,167 - MyLogger - DEBUG - Proc 1, completed 8000 in 14.649767398834229 sec. Speed: 68
2017-07-13 18:45:23,648 - MyLogger - DEBUG - Proc 0, completed 9000 in 10.795336723327637 sec. Speed: 92
2017-07-13 18:45:26,642 - MyLogger - DEBUG - Proc 2, completed 5000 in 20.442911624908447 sec. Speed: 48
2017-07-13 18:45:33,811 - MyLogger - DEBUG - Proc 5, completed 2000 in 44.344215869903564 sec. Speed: 22
2017-07-13 18:45:34,664 - MyLogger - DEBUG - Proc 3, completed 3000 in 37.02657723426819 sec. Speed: 27
2017-07-13 18:45:35,501 - MyLogger - DEBUG - Proc 0, completed 10000 in 11.851896524429321 sec. Speed: 84
2017-07-13 18:45:38,156 - MyLogger - DEBUG - Proc 6, completed 2000 in 47.93695950508118 sec. Speed: 20
2017-07-13 18:45:38,940 - MyLogger - DEBUG - Proc 7, completed 2000 in 50.23050498962402 sec. Speed: 19
2017-07-13 18:45:39,841 - MyLogger - DEBUG - Proc 14, completed 1000 in 100.86028146743774 sec. Speed: 9
2017-07-13 18:45:45,987 - MyLogger - DEBUG - Proc 1, completed 9000 in 22.819844722747803 sec. Speed: 43
2017-07-13 18:45:49,997 - MyLogger - DEBUG - Proc 0, completed 11000 in 14.494876623153687 sec. Speed: 68
2017-07-13 18:45:52,662 - MyLogger - DEBUG - Proc 9, completed 2000 in 64.6898295879364 sec. Speed: 15
2017-07-13 18:45:53,716 - MyLogger - DEBUG - Proc 2, completed 6000 in 27.07321548461914 sec. Speed: 36
2017-07-13 18:45:54,389 - MyLogger - DEBUG - Proc 15, completed 1000 in 115.38090324401855 sec. Speed: 8
2017-07-13 18:45:56,314 - MyLogger - DEBUG - Proc 8, completed 3000 in 57.94463086128235 sec. Speed: 17
2017-07-13 18:46:00,787 - MyLogger - DEBUG - Proc 0, completed 12000 in 10.78890585899353 sec. Speed: 92
2017-07-13 18:46:01,286 - MyLogger - DEBUG - Proc 4, completed 3000 in 44.37316632270813 sec. Speed: 22
2017-07-13 18:46:01,685 - MyLogger - DEBUG - Proc 1, completed 10000 in 15.696744918823242 sec. Speed: 63
2017-07-13 18:46:09,558 - MyLogger - DEBUG - Proc 6, completed 3000 in 31.40113353729248 sec. Speed: 31
2017-07-13 18:46:09,827 - MyLogger - DEBUG - Proc 10, completed 2000 in 69.67507243156433 sec. Speed: 14
2017-07-13 18:46:14,105 - MyLogger - DEBUG - Proc 2, completed 7000 in 20.38739562034607 sec. Speed: 49
2017-07-13 18:46:16,985 - MyLogger - DEBUG - Proc 0, completed 13000 in 16.197391510009766 sec. Speed: 61
2017-07-13 18:46:17,403 - MyLogger - DEBUG - Proc 3, completed 4000 in 42.73809313774109 sec. Speed: 23
2017-07-13 18:46:19,093 - MyLogger - DEBUG - Proc 7, completed 3000 in 40.15183973312378 sec. Speed: 24
2017-07-13 18:46:19,635 - MyLogger - DEBUG - Proc 12, completed 2000 in 60.32665991783142 sec. Speed: 16
2017-07-13 18:46:19,759 - MyLogger - DEBUG - Proc 5, completed 3000 in 45.946763038635254 sec. Speed: 21
2017-07-13 18:46:20,587 - MyLogger - DEBUG - Proc 0, completed 14000 in 3.6008858680725098 sec. Speed: 277
2017-07-13 18:46:20,948 - MyLogger - DEBUG - Proc 11, completed 2000 in 73.66133618354797 sec. Speed: 13
2017-07-13 18:46:23,693 - MyLogger - DEBUG - Proc 1, completed 11000 in 22.006721019744873 sec. Speed: 45
2017-07-13 18:46:27,630 - MyLogger - DEBUG - Proc 0, completed 15000 in 7.042938470840454 sec. Speed: 141
2017-07-13 18:46:29,354 - MyLogger - DEBUG - Proc 2, completed 8000 in 15.24899959564209 sec. Speed: 65
2017-07-13 18:46:31,980 - MyLogger - DEBUG - Proc 4, completed 4000 in 30.692907571792603 sec. Speed: 32
2017-07-13 18:46:33,717 - MyLogger - DEBUG - Proc 4, completed 5000 in 1.7357187271118164 sec. Speed: 576
2017-07-13 18:46:40,626 - MyLogger - DEBUG - Proc 0, completed 16000 in 12.994168519973755 sec. Speed: 76
2017-07-13 18:46:43,251 - MyLogger - DEBUG - Proc 7, completed 4000 in 24.157191514968872 sec. Speed: 41
2017-07-13 18:46:46,476 - MyLogger - DEBUG - Proc 1, completed 12000 in 22.782870054244995 sec. Speed: 43
2017-07-13 18:46:47,750 - MyLogger - DEBUG - Proc 6, completed 4000 in 38.1908061504364 sec. Speed: 26
2017-07-13 18:46:53,856 - MyLogger - DEBUG - Proc 13, completed 2000 in 92.48166513442993 sec. Speed: 10
2017-07-13 18:46:54,019 - MyLogger - DEBUG - Proc 8, completed 4000 in 57.70327281951904 sec. Speed: 17
2017-07-13 18:46:54,814 - MyLogger - DEBUG - Proc 0, completed 17000 in 14.1872239112854 sec. Speed: 70
2017-07-13 18:46:55,885 - MyLogger - DEBUG - Proc 9, completed 3000 in 63.221964597702026 sec. Speed: 15
2017-07-13 18:46:56,352 - MyLogger - DEBUG - Proc 3, completed 5000 in 38.94714665412903 sec. Speed: 25
2017-07-13 18:46:59,974 - MyLogger - DEBUG - Proc 4, completed 6000 in 26.25573706626892 sec. Speed: 38
2017-07-13 18:47:04,132 - MyLogger - DEBUG - Proc 0, completed 18000 in 9.317453384399414 sec. Speed: 107
2017-07-13 18:47:04,428 - MyLogger - DEBUG - Proc 5, completed 4000 in 44.667741775512695 sec. Speed: 22
2017-07-13 18:47:05,460 - MyLogger - DEBUG - Proc 1, completed 13000 in 18.982882976531982 sec. Speed: 52
2017-07-13 18:47:07,035 - MyLogger - DEBUG - Proc 6, completed 5000 in 19.284839630126953 sec. Speed: 51
2017-07-13 18:47:10,212 - MyLogger - DEBUG - Proc 0, completed 19000 in 6.0790464878082275 sec. Speed: 164
2017-07-13 18:47:11,125 - MyLogger - DEBUG - Proc 14, completed 2000 in 91.28240489959717 sec. Speed: 10
2017-07-13 18:47:11,446 - MyLogger - DEBUG - Proc 2, completed 9000 in 42.09083580970764 sec. Speed: 23
2017-07-13 18:47:14,640 - MyLogger - DEBUG - Proc 12, completed 3000 in 55.0041069984436 sec. Speed: 18
2017-07-13 18:47:17,014 - MyLogger - DEBUG - Proc 10, completed 3000 in 67.18526840209961 sec. Speed: 14
2017-07-13 18:47:25,023 - MyLogger - DEBUG - Proc 2, completed 10000 in 13.575358629226685 sec. Speed: 73
2017-07-13 18:47:26,034 - MyLogger - DEBUG - Proc 7, completed 5000 in 42.78220343589783 sec. Speed: 23
2017-07-13 18:47:32,264 - MyLogger - DEBUG - Proc 1, completed 14000 in 26.803096055984497 sec. Speed: 37
2017-07-13 18:47:33,364 - MyLogger - DEBUG - Proc 11, completed 3000 in 72.41485333442688 sec. Speed: 13
2017-07-13 18:47:35,244 - MyLogger - DEBUG - Proc 0, completed 20000 in 25.0309898853302 sec. Speed: 39
2017-07-13 18:47:36,889 - MyLogger - DEBUG - Proc 3, completed 6000 in 40.53614568710327 sec. Speed: 24
2017-07-13 18:47:37,780 - MyLogger - DEBUG - Proc 7, completed 6000 in 11.744516134262085 sec. Speed: 85
2017-07-13 18:47:39,889 - MyLogger - DEBUG - Proc 4, completed 7000 in 39.9146614074707 sec. Speed: 25
2017-07-13 18:47:42,622 - MyLogger - DEBUG - Proc 1, completed 15000 in 10.356992244720459 sec. Speed: 96
2017-07-13 18:47:43,677 - MyLogger - DEBUG - Proc 2, completed 11000 in 18.653822422027588 sec. Speed: 53
2017-07-13 18:47:45,533 - MyLogger - DEBUG - Proc 0, completed 21000 in 10.28845763206482 sec. Speed: 97
2017-07-13 18:47:52,071 - MyLogger - DEBUG - Proc 8, completed 5000 in 58.051233530044556 sec. Speed: 17
2017-07-13 18:47:55,813 - MyLogger - DEBUG - Proc 5, completed 5000 in 51.38403654098511 sec. Speed: 19
2017-07-13 18:47:56,951 - MyLogger - DEBUG - Proc 6, completed 6000 in 49.91489315032959 sec. Speed: 20
2017-07-13 18:48:00,101 - MyLogger - DEBUG - Proc 9, completed 4000 in 64.21512246131897 sec. Speed: 15
2017-07-13 18:48:00,128 - MyLogger - DEBUG - Proc 1, completed 16000 in 17.504842281341553 sec. Speed: 57
2017-07-13 18:48:00,604 - MyLogger - DEBUG - Proc 0, completed 22000 in 15.069683313369751 sec. Speed: 66
2017-07-13 18:48:04,746 - MyLogger - DEBUG - Proc 14, completed 3000 in 53.619751930236816 sec. Speed: 18
2017-07-13 18:48:06,605 - MyLogger - DEBUG - Proc 15, completed 2000 in 132.21408557891846 sec. Speed: 7
2017-07-13 18:48:07,012 - MyLogger - DEBUG - Proc 3, completed 7000 in 30.121737718582153 sec. Speed: 33
2017-07-13 18:48:10,493 - MyLogger - DEBUG - Proc 3, completed 8000 in 3.48013973236084 sec. Speed: 287
2017-07-13 18:48:11,785 - MyLogger - DEBUG - Proc 3, completed 9000 in 1.2918808460235596 sec. Speed: 774
2017-07-13 18:48:13,414 - MyLogger - DEBUG - Proc 0, completed 23000 in 12.809207916259766 sec. Speed: 78
2017-07-13 18:48:14,761 - MyLogger - DEBUG - Proc 2, completed 12000 in 31.082212686538696 sec. Speed: 32
2017-07-13 18:48:16,099 - MyLogger - DEBUG - Proc 4, completed 8000 in 36.20869541168213 sec. Speed: 27
2017-07-13 18:48:20,108 - MyLogger - DEBUG - Proc 1, completed 17000 in 19.979007959365845 sec. Speed: 50
2017-07-13 18:48:21,585 - MyLogger - DEBUG - Proc 2, completed 13000 in 6.823859930038452 sec. Speed: 146
2017-07-13 18:48:22,769 - MyLogger - DEBUG - Proc 2, completed 14000 in 1.1830830574035645 sec. Speed: 845
2017-07-13 18:48:23,053 - MyLogger - DEBUG - Proc 13, completed 3000 in 89.19534015655518 sec. Speed: 11
2017-07-13 18:48:29,507 - MyLogger - DEBUG - Proc 0, completed 24000 in 16.092233896255493 sec. Speed: 62
2017-07-13 18:48:31,258 - MyLogger - DEBUG - Proc 10, completed 4000 in 74.24354100227356 sec. Speed: 13
2017-07-13 18:48:34,772 - MyLogger - DEBUG - Proc 1, completed 18000 in 14.663338899612427 sec. Speed: 68
2017-07-13 18:48:35,956 - MyLogger - DEBUG - Proc 7, completed 7000 in 58.17527437210083 sec. Speed: 17
2017-07-13 18:48:36,873 - MyLogger - DEBUG - Proc 12, completed 4000 in 82.23204374313354 sec. Speed: 12
2017-07-13 18:48:40,061 - MyLogger - DEBUG - Proc 0, completed 25000 in 10.552699327468872 sec. Speed: 94
2017-07-13 18:48:46,365 - MyLogger - DEBUG - Proc 5, completed 6000 in 50.551029205322266 sec. Speed: 19
2017-07-13 18:48:48,287 - MyLogger - DEBUG - Proc 6, completed 7000 in 51.33414006233215 sec. Speed: 19
2017-07-13 18:48:49,574 - MyLogger - DEBUG - Proc 1, completed 19000 in 14.801566123962402 sec. Speed: 67
2017-07-13 18:48:49,776 - MyLogger - DEBUG - Proc 2, completed 15000 in 27.00614595413208 sec. Speed: 37
2017-07-13 18:48:50,710 - MyLogger - DEBUG - Proc 8, completed 6000 in 58.63738822937012 sec. Speed: 17
